stid,lat,lon,alt,t_u
Aurora,67.1358,-47.2922,,317.0
CEN,,,,5763.0
CEN1,77.181783,-61.11583,1888.8,0.0
CEN2,77.181949,-61.115757,1892.3,0.0
CP1,69.871508,-47.042603,1945.8,8640.0
CP2,69.9133,-46.8547,1990.0,1477.0
Crawford Point 1,69.8742,-47.0242,2022.0,7242.0
DY2,66.482497,-46.294339,2122.1,10252.0
DYE-2,66.482,-46.2908,2165.0,9380.0
EGP,75.627443,-35.968725,2663.4,4183.0
EKT,66.985405,-44.395081,2355.0,686.0
EastGRIP,75.6268,-35.9801,2653.0,3324.0
FA-13,66.1812,-39.0435,1563.0,365.0
FA-15-1,66.3622,-39.3119,1664.0,0.0
FA-15-2,66.3548,-39.1788,1543.0,0.0
FA15-1,,,,400.0
FRE,74.388037,-20.833139,681.8,0.0
G1,69.8765,-47.0102,1997.0,0.0
G165,69.719783,-48.2674,1644.0,0.0
GGU163,69.72505,-48.1902,1660.0,0.0
GITS,77.1378,-61.0411,1887.0,4242.0
H1,69.739083,-48.2403,1680.0,0.0
H2,69.706167,-48.344967,1555.0,0.0
H3,69.687433,-48.499667,1540.0,0.0
H3.5,69.673933,-48.591117,1497.0,0.0
H4,69.660183,-48.68945,1401.0,0.0
H5,69.64372,-48.81594,1333.0,0.0
HUM,78.529014,-56.844994,1968.3,8002.0
Humboldt,78.5283,-56.8423,1950.0,7244.0
JAR,69.492103,-49.72078,907.7,7595.0
JAR1,69.4933,-49.7142,900.0,6474.0
JAR2,69.42,-50.0575,568.0,3556.0
JAR3,69.3944,-50.31,323.0,1459.0
JAR_O,69.494378,-49.672386,926.1,0.0
KAN_B,67.1252,-50.1832,350.0,0.0
KAN_L,67.093447,-49.967966,627.9,6274.0
KAN_Lv3,67.105,-49.931336,684.5,0.0
KAN_M,67.068207,-48.852538,1271.6,6022.0
KAN_T,,,,483.0
KAN_U,67.000765,-47.034741,1832.8,5780.0
KAR,69.6994,-33.0006,2579.0,753.0
KPC_L,79.910792,-24.0805,360.3,4892.0
KPC_Lv3,79.913878,-24.093317,373.4,0.0
KPC_U,79.835138,-25.161461,865.7,5635.0
KPC_Uv3,79.834922,-25.162375,866.0,0.0
KULU,65.7585,-39.6018,878.0,357.0
LYN_L,69.318937,-53.543696,537.0,0.0
LYN_T,69.304267,-53.590172,939.7,0.0
MIT,65.691955,-37.829808,430.2,0.0
NAE,75.002575,-29.979274,2624.1,8963.0
NASA-E,75.0023,-29.9838,2610.0,8266.0
NASA-SE,66.4779,-42.4951,2360.0,6691.0
NASA-U,73.8407,-49.5265,2369.0,8181.0
NAU,73.840583,-49.534727,2332.4,8994.0
NEEM,77.4413,-51.0999,2460.0,5175.0
NEM,77.441446,-51.084003,2450.9,5821.0
NGRIP,75.0998,-42.3326,2950.0,2464.0
NSE,66.47754,-42.493045,2381.6,7764.0
NUK_B,64.461444,-50.152738,108.2,0.0
NUK_K,64.162291,-51.358688,698.3,0.0
NUK_L,64.484204,-49.553672,486.6,5706.0
NUK_N,64.9452,-49.885,920.0,1135.0
NUK_U,64.509097,-49.283506,1115.0,5602.0
NUK_Uv3,64.509019,-49.285812,1114.0,0.0
Petermann ELA,80.0993,-58.1497,907.0,3264.0
Petermann Glacier,80.6836,-60.2931,37.0,1424.0
QAS_A,61.243,-46.7328,1000.0,536.0
QAS_L,61.030427,-46.849797,240.1,6491.0
QAS_Lv3,61.030654,-46.849498,237.4,0.0
QAS_M,61.109911,-46.808667,678.0,3032.0
QAS_Mv3,61.109875,-46.808356,675.2,0.0
QAS_U,61.172265,-46.822545,885.1,5396.0
QAS_Uv3,61.172173,-46.822585,882.3,0.0
RED_L,,,,450.0
SCO_L,72.232719,-26.936527,470.0,6049.0
SCO_U,72.424926,-27.481842,980.0,5537.0
SDL,66.000171,-44.502663,2468.3,9419.0
SDM,63.148916,-44.817398,2892.8,8746.0
SE-Dome,67.18,-36.37,3170.0,0.0
SIGMA-A,78.05167,-67.62833,1490.0,2468.0
SIGMA-D,77.636,-59.12,2100.0,0.0
SMS-PET,80.6033,-60.0536,54.0,708.0
SMS1,69.4822,-49.8017,822.0,1224.0
SMS2,69.4778,-49.8828,727.0,1110.0
SMS3,69.4403,-49.9703,605.0,1748.0
SMS4,69.4013,-50.2108,387.0,706.0
SMS5,69.5056,-49.9093,0.0,217.0
SW1,69.800944,-47.567889,1845.0,0.0
SW2,69.800944,-47.567889,1845.0,0.0
SW3,69.805861,-47.542417,1856.0,0.0
SW4,69.793222,-47.607806,1835.0,0.0
SWC,69.552457,-49.37591,1120.0,9236.0
SWC_O,69.59443,-49.282673,1158.5,0.0
Saddle,65.9999,-44.5026,2451.0,8104.0
Site J,66.864952,-46.265141,2060.0,619.0
South Dome,63.1489,-44.8175,2878.0,7846.0
Summit,72.5797,-38.5045,3254.0,9100.0
Swiss Camp,69.5556,-49.3647,1138.0,7761.0
Swiss Camp 10m,69.5556,-49.3647,1138.0,9434.0
T1new,69.738017,-48.060967,1710.0,0.0
T1old,69.738017,-48.060967,1710.0,0.0
T2_08,69.756933,-47.880283,1750.0,0.0
T2_09,69.756933,-47.880283,1750.0,0.0
T3,69.7836,-47.670183,1819.0,0.0
T4,69.819983,-47.4505,1877.0,0.0
T5,69.848017,-47.273583,1932.0,0.0
TAS_A,65.774442,-38.890758,880.3,3250.0
TAS_L,65.639177,-38.899164,229.8,4964.0
TAS_U,65.6978,-38.8668,570.0,2093.0
THU_L,76.399853,-68.26755,559.4,4462.0
THU_L2,76.393024,-68.265203,569.6,949.0
THU_U,,,,4991.0
THU_U2,76.390204,-68.110534,745.1,0.0
TUN,78.019295,-33.961291,2077.0,9307.0
Tunu-N,78.0188,-33.9668,2113.0,8579.0
UPE_L,72.893385,-54.295807,198.0,5557.0
UPE_U,72.885092,-53.61895,896.2,5348.0
WEG_B,71.141463,-51.222054,14.8,0.0
WEG_L,71.204955,-51.098881,933.1,937.0
ZAK_A,74.647558,-21.652047,1484.8,0.0
ZAK_L,74.709165,-30.219014,685.7,0.0
ZAK_Lv3,74.624112,-21.374358,627.0,0.0
ZAK_U,74.624099,-21.374481,630.4,0.0
ZAK_Uv3,74.643273,-21.461341,861.3,0.0
s10,67.0,-47.01666667,1850.0,2078.0
s5,67.08333333,-50.1,500.0,6693.0
s6,67.06666667,-49.38333333,1000.0,5979.0
s9,67.05,-48.21666667,1500.0,6701.0
