t0,t1,flag,variable,comment,URL_graphic
2008-10-05T00:00:00+00:00,2008-10-07T00:00:00+00:00,RIME,dlr ulr dsr usr,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2010-01-14T00:00:00+00:00,2010-01-16T00:00:00+00:00,RIME,dlr ulr dsr usr,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2010-07-25T00:00:00+00:00,2010-07-27T00:00:00+00:00,RIME,dlr ulr dsr usr,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2011-04-10T00:00:00+00:00,2011-07-08T00:00:00+00:00,RIME,dlr ulr dsr usr,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2011-07-11T00:00:00+00:00,2011-07-25T00:00:00+00:00,RIME,dlr ulr dsr usr,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2011-07-29T00:00:00+00:00,2011-08-24T00:00:00+00:00,RIME,dlr ulr dsr usr,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2012-03-07T00:00:00+00:00,2012-03-09T00:00:00+00:00,RIME,dlr ulr dsr usr,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2012-03-18T00:00:00+00:00,2012-03-20T00:00:00+00:00,RIME,dlr ulr dsr usr,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2013-01-10T00:00:00+00:00,2013-01-13T00:00:00+00:00,RIME,dlr ulr dsr usr,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2013-11-05T00:00:00+00:00,2013-11-07T00:00:00+00:00,RIME,dlr ulr dsr usr,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2015-03-01T00:00:00+00:00,2015-03-03T00:00:00+00:00,RIME,dlr ulr dsr usr,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2015-03-06T00:00:00+00:00,2015-03-11T00:00:00+00:00,RIME,dlr ulr dsr usr,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2015-10-27T00:00:00+00:00,2015-10-30T00:00:00+00:00,RIME,dlr ulr dsr usr,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2015-12-21T00:00:00+00:00,2015-12-23T00:00:00+00:00,RIME,dlr ulr dsr usr,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2016-01-24T00:00:00+00:00,2016-01-28T00:00:00+00:00,RIME,dlr ulr dsr usr,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2016-03-28T00:00:00+00:00,2016-04-02T00:00:00+00:00,RIME,dlr ulr dsr usr,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2017-09-23T00:00:00+00:00,2017-09-25T00:00:00+00:00,RIME,dlr ulr dsr usr,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2018-01-14T00:00:00+00:00,2018-01-17T00:00:00+00:00,RIME,dlr ulr dsr usr,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2018-07-04T00:00:00+00:00,2018-07-06T00:00:00+00:00,RIME,dlr ulr dsr usr,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2018-12-07T00:00:00+00:00,2018-12-09T00:00:00+00:00,RIME,dlr ulr dsr usr,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2022-02-16T00:00:00+00:00,2022-02-27T00:00:00+00:00,RIME,dlr ulr dsr usr,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2022-04-14T00:00:00+00:00,2022-04-16T00:00:00+00:00,RIME,dlr ulr dsr usr,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2023-06-08T00:00:00+00:00,2023-06-10T00:00:00+00:00,RIME,dlr ulr dsr usr,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2023-06-20T00:00:00+00:00,2023-07-11T00:00:00+00:00,RIME,dlr ulr dsr usr,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
