station	incidence_%
CEN1	33.44
CEN2	18.36
CP1	3.33
DY2	5.99
EGP	25.60
HUM	11.90
JAR	0.82
JAR_O	1.46
KAN_B	10.44
KAN_L	4.78
KAN_Lv3	3.21
KAN_M	3.74
KAN_Tv3	2.40
KAN_U	2.81
KPC_L	1.78
KPC_Lv3	4.00
KPC_U	6.66
KPC_Uv3	5.06
LYN_T	8.32
MIT	5.21
NAE	20.17
NAU	5.46
NEM	21.01
NSE	12.68
NUK_B	0.00
NUK_K	9.39
NUK_L	4.35
NUK_N	2.40
NUK_U	4.08
NUK_Uv3	4.07
QAS_A	2.09
QAS_L	4.54
QAS_Lv3	5.04
QAS_M	5.43
QAS_Mv3	2.57
QAS_U	6.56
QAS_Uv3	2.23
SCO_L	8.37
SCO_Lv3	0.00
SCO_U	1.86
SCO_Uv3	1.26
SDL	8.50
SDM	12.13
SER_B	0.00
SWC	2.28
SWC_O	1.58
TAS_A	1.54
TAS_Av3	0.75
TAS_L	3.77
TAS_U	2.66
THU_L	2.85
THU_L2	4.11
THU_U2	7.89
THU_U2v3	1.20
TUN	6.19
UPE_L	12.17
UPE_U	5.98
WEG_B	0.00
WEG_L	1.85
ZAC_A	1.25
ZAC_Lv3	3.57
ZAC_Uv3	4.65
THU_U	5.97
