	stid	latitude	longitude	altitude	altitude_mod	altitude_diff
0	Aurora	67.1358	-47.2922		1738.0781	
12114	CEN1	77.181783	-61.11583	1888.8	1881.3086	-7.4914062499999545
24228	CEN2	77.181949	-61.115757	1892.3	1881.3086	-10.991406249999955
36342	CP1	69.871508	-47.042603	1945.8	1949.939	4.1389648437500455
48456	CP2	69.9133	-46.8547	1990.0	1962.5234	-27.4765625
60570	Crawford Point 1	69.8742	-47.0242	2022.0	1949.939	-72.06103515625
72684	DY2	66.482497	-46.294339	2122.1	2100.711	-21.38906249999991
84798	DYE-2	66.482	-46.2908	2165.0	2100.711	-64.2890625
96912	EGP	75.627443	-35.968725	2663.4	2672.5393	9.139306640624909
109026	EKT	66.985405	-44.395081	2355.0	2351.156	-3.843994140625
121140	EastGRIP	75.6268	-35.9801	2653.0	2672.5393	19.539306640625
133254	FA-13	66.1812	-39.0435	1563.0	1524.4233	-38.57666015625
145368	FA-15-1	66.3622	-39.3119	1664.0	1603.7705	-60.2294921875
157482	FA-15-2	66.3548	39.1788	1543.0		
169596	FRE	74.388037	-20.833139	681.8	935.9011	254.10112304687505
181710	G1	69.8765	-47.0102	1997.0	1949.939	-47.06103515625
193824	G165	69.719783	-48.2674	1644.0	1584.116	-59.884033203125
205938	GGU163	69.72505	-48.1902	1660.0	1620.0046	-39.995361328125
218052	GITS	77.1378	-61.0411	1887.0	1871.4614	-15.53857421875
230166	H1	69.739083	-48.2403	1680.0	1621.0984	-58.901611328125
242280	H2	69.706167	-48.344967	1555.0	1552.1372	-2.86279296875
254394	H3	69.687433	-48.499667	1540.0	1487.1533	-52.8466796875
266508	H3.5	69.673933	-48.591117	1497.0	1459.9839	-37.01611328125
278622	H4	69.660183	-48.68945	1401.0	1377.7	-23.300048828125
290736	H5	69.64372	-48.81594	1333.0	1339.4126	6.41259765625
302850	HUM	78.529014	-56.844994	1968.3	1957.1523	-11.147656249999955
314964	Humboldt	78.5283	-56.8423	1950.0	1957.1523	7.15234375
327078	JAR	69.492103	-49.72078	907.7	892.71924	-14.980761718750045
339192	JAR1	69.4933	-49.7142	900.0	892.71924	-7.28076171875
351306	JAR2	69.42	-50.0575	568.0	489.05713	-78.94287109375
363420	JAR3	69.3944	-50.31	323.0	302.45386	-20.546142578125
375534	JAR_O	69.494378	-49.672386	926.1	947.5803	21.480322265624977
387648	KAN_B	67.1252	-50.1832	350.0	375.56274	25.562744140625
399762	KAN_L	67.093447	-49.967966	627.9	660.4414	32.54140625000002
411876	KAN_Lv3	67.105	-49.931336	684.5	660.4414	-24.05859375
423990	KAN_M	67.068207	-48.852538	1271.6	1263.7954	-7.804589843749909
436104	KAN_U	67.000765	-47.034741	1832.8	1845.6423	12.842333984375045
448218	KAR	69.6994	-33.0006	2579.0	2560.9163	-18.083740234375
460332	KPC_L	79.910792	-24.0805	360.3	408.18164	47.88164062499999
472446	KPC_Lv3	79.913878	-24.093317	373.4	366.41162	-6.988378906249977
484560	KPC_U	79.835138	-25.161461	865.7	868.03784	2.3378417968749545
496674	KPC_Uv3	79.834922	-25.162375	866.0	868.03784	2.037841796875
508788	KULU	65.7585	-39.6018	878.0	943.34424	65.34423828125
520902	LYN_L	69.318937	-53.543696	537.0	671.79297	134.79296875
533016	LYN_T	69.304267	-53.590172	939.7	714.5371	-225.16289062500005
545130	MIT	65.691955	-37.829808	430.2	410.06226	-20.13774414062499
557244	NAE	75.002575	-29.979274	2624.1	2603.2122	-20.88784179687491
569358	NASA-E	75.0023	-29.9838	2610.0	2603.2122	-6.787841796875
581472	NASA-SE	66.4779	-42.4951	2360.0	2378.1814	18.181396484375
593586	NASA-U	73.8407	-49.5265	2369.0	2326.5574	-42.442626953125
605700	NAU	73.840583	-49.534727	2332.4	2326.5574	-5.842626953125091
617814	NEEM	77.4413	-51.0999	2460.0	2447.8184	-12.181640625
629928	NEM	77.441446	-51.084003	2450.9	2447.8184	-3.081640625000091
642042	NGRIP	75.0998	-42.3326	2950.0	2916.7856	-33.21435546875
654156	NSE	66.47754	-42.493045	2381.6	2378.1814	-3.418603515624909
666270	NUK_B	64.461444	-50.152738	108.2	126.94383	18.743832397460935
678384	NUK_K	64.162291	-51.358688	698.3	344.84497	-353.45502929687495
690498	NUK_L	64.484204	-49.553672	486.6	421.76245	-64.83754882812502
702612	NUK_N	64.9452	-49.885	920.0	915.25586	-4.744140625
714726	NUK_U	64.509097	-49.283506	1115.0	1128.8142	13.814208984375
726840	NUK_Uv3	64.509019	-49.285812	1114.0	1128.8142	14.814208984375
738954	Petermann ELA	80.0993	-58.1497	907.0	940.91284	33.912841796875
751068	Petermann Glacier	80.6836	-60.2931	37.0	42.725082	5.7250823974609375
763182	QAS_A	61.243	-46.7328	1000.0	1039.5579	39.557861328125
775296	QAS_L	61.030427	-46.849797	240.1	312.62793	72.5279296875
787410	QAS_Lv3	61.030654	-46.849498	237.4	312.62793	75.2279296875
799524	QAS_M	61.109911	-46.808667	678.0	661.1743	-16.82568359375
811638	QAS_Mv3	61.109875	-46.808356	675.2	661.1743	-14.025683593750045
823752	QAS_U	61.172265	-46.822545	885.1	895.5337	10.433691406249977
835866	QAS_Uv3	61.172173	-46.822585	882.3	895.5337	13.233691406250045
847980	SCO_L	72.232719	-26.936527	470.0	1046.8225	576.822509765625
860094	SCO_U	72.424926	-27.481842	980.0	1102.8254	122.825439453125
872208	SDL	66.000171	-44.502663	2468.3	2454.1667	-14.133251953125182
884322	SDM	63.148916	-44.817398	2892.8	2876.8845	-15.915478515625182
896436	SE-Dome	67.18	-36.37	3170.0	3116.672	-53.327880859375
908550	SIGMA-A	78.05167	-67.62833	1490.0	1489.8354	-0.16455078125
920664	SIGMA-D	77.636	-59.12	2100.0	2070.0088	-29.9912109375
932778	SMS-PET	80.6033	-60.0536	54.0	66.830795	12.830795288085938
944892	SMS1	69.4822	-49.8017	822.0	836.84204	14.842041015625
957006	SMS2	69.4778	-49.8828	727.0	710.58984	-16.41015625
969120	SMS3	69.4403	-49.9703	605.0	601.1377	-3.8623046875
981234	SMS4	69.4013	-50.2108	387.0	327.56177	-59.438232421875
993348	SMS5	69.5056	-49.9093	0.0	698.2112	698.211181640625
